base_process_variant,flip_p,subsample_step,k,process,reconstructor,representation,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
even_process,0.0,4,3,even_process_sub4,one_step_greedy_merge,last_3,0.4655306638313359,0.005526626835090357,3.8,0.8366600265340756,0.7615934045167305,0.1758055362952355,0.9857885788578858,0.011862396654290048,0.059507029326299164,0.0490749464070769
even_process,0.0,4,4,even_process_sub4,one_step_greedy_merge,last_4,0.4665686305719442,0.005699173010128328,4.4,0.5477225575051662,0.8474886389724624,0.09438443479200853,0.9617952244030503,0.026267612873850328,0.1537427304039229,0.09868976564263866
even_process,0.0,4,5,even_process_sub4,one_step_greedy_merge,last_5,0.46627666771614856,0.005672985878290791,8.6,1.140175425099138,1.0751013992805643,0.1598624958294777,0.8787518127719158,0.05997502413608068,0.4877960559762096,0.1849265348763394
even_process,0.0,4,6,even_process_sub4,one_step_greedy_merge,last_6,0.47005629654356185,0.008208491827409,12.2,0.8366600265340756,1.2481955678776147,0.13368811083748436,0.7594329007576326,0.07904111189912488,0.8956018650638136,0.21330867495819192
even_process,0.0,4,7,even_process_sub4,one_step_greedy_merge,last_7,0.47650881684244173,0.0100365902621938,14.2,0.8366600265340756,1.3916019246880764,0.08813541199769179,0.7016903380676135,0.05699115066466004,1.170986048199239,0.18171630009427087
even_process,0.0,4,8,even_process_sub4,one_step_greedy_merge,last_8,0.48581685712779193,0.009822687894343714,17.8,0.8366600265340757,1.5560102772188478,0.10949836282453998,0.6199544897601961,0.08026561541159939,1.4321435964461104,0.21999704270124812
even_process,0.01,1,1,even_process_flip0.01,one_step_greedy_merge,last_1,0.4677991448290933,0.0006856698433662932,2.0,0.0,0.4760962867779169,0.0007476238429847045,1.0,0.0,0.0,0.0
even_process,0.01,1,2,even_process_flip0.01,one_step_greedy_merge,last_2,0.45241267396355267,0.0007276091340224641,3.0,0.0,0.8317319453075195,0.0012428917646977226,1.0,0.0,0.0,0.0
even_process,0.01,1,3,even_process_flip0.01,one_step_greedy_merge,last_3,0.4463369401194326,0.0009029625353225973,3.4,0.5477225575051662,0.9564168325359337,0.008187743776911775,0.9114290357258931,0.0003916210454716648,0.2112756745017082,0.0012108765735900574
even_process,0.01,1,4,even_process_flip0.01,one_step_greedy_merge,last_4,0.4359173618018131,0.0008760646876123385,5.0,0.7071067811865476,1.1007733898389758,0.04873244612363003,0.9013131660364386,0.01687388000612482,0.24430500333649235,0.03418094916266561
even_process,0.01,1,5,even_process_flip0.01,one_step_greedy_merge,last_5,0.4319464081787657,0.0013882878015483429,9.4,1.140175425099138,1.1953308162493885,0.1060720024860613,0.9137867670037627,0.026909516053424697,0.30128462919338705,0.06896261825914372
even_process,0.01,1,6,even_process_flip0.01,one_step_greedy_merge,last_6,0.4257119476690914,0.0016016923163288833,13.6,1.673320053068151,1.3962341757674612,0.04340555464088854,0.8326264274061991,0.03079540320106455,0.5149533492404819,0.07986107872886464
even_process,0.01,1,7,even_process_flip0.01,one_step_greedy_merge,last_7,0.42373122595152735,0.0014327625993835133,17.6,1.3416407864998738,1.425479760373842,0.03463803450567109,0.8632506625331267,0.018012885261282644,0.5467300674940672,0.03575015449151338
even_process,0.01,1,8,even_process_flip0.01,one_step_greedy_merge,last_8,0.4201796653021231,0.0026036148770688565,21.6,2.302172886644268,1.5518243669050882,0.0814600941776786,0.8135557625116412,0.05236242559746516,0.7331464784692743,0.10641857172128115
even_process,0.01,2,1,even_process_flip0.01_sub2,one_step_greedy_merge,last_1,0.4718278987919792,0.0017327778839089404,2.0,0.0,0.4758207479626896,0.0009170482588852415,1.0,0.0,0.0,0.0
even_process,0.01,2,2,even_process_flip0.01_sub2,one_step_greedy_merge,last_2,0.47000947717429575,0.0018787620590367618,3.0,0.0,0.8859005991888811,0.001645387860050431,1.0,0.0,0.0,0.0
even_process,0.01,2,3,even_process_flip0.01_sub2,one_step_greedy_merge,last_3,0.46926728319303346,0.0020831302676904647,4.6,0.5477225575051661,1.240750990932063,0.02140368352616532,0.9984349217460873,0.0015559487352075493,0.008621727437935099,0.009488004522742392
even_process,0.01,2,4,even_process_flip0.01_sub2,one_step_greedy_merge,last_4,0.46947491182881507,0.002146682957481365,6.6,0.5477225575051663,1.4177352094589866,0.07100364329292055,0.8977986124132759,0.03681985246468577,0.26654498033912594,0.060350956667105805
