seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,condition_folder,base_process_variant,flip_p,subsample_step,k
2,even_process_flip0.01,last_1,one_step_greedy_merge,0.4674990036231387,2,0.4764481764607076,1.0,0.0,even_process_flip0.01,even_process,0.01,1,1
2,even_process_flip0.01,last_2,one_step_greedy_merge,0.4522622456038786,3,0.8320897862305381,1.0,0.0,even_process_flip0.01,even_process,0.01,1,2
2,even_process_flip0.01,last_3,one_step_greedy_merge,0.4459761788007532,3,0.9505114492405022,0.9107852696317408,0.2126611281440847,even_process_flip0.01,even_process,0.01,1,3
2,even_process_flip0.01,last_4,one_step_greedy_merge,0.4353531816794107,6,1.0955267116994465,0.9062720710022188,0.2370484990098321,even_process_flip0.01,even_process,0.01,1,4
2,even_process_flip0.01,last_5,one_step_greedy_merge,0.4309583791941372,10,1.37468452137343,0.8690763403627636,0.4024593831422162,even_process_flip0.01,even_process,0.01,1,5
2,even_process_flip0.01,last_6,one_step_greedy_merge,0.4238731761004962,14,1.4441064615041366,0.8193608470370579,0.5715658634076989,even_process_flip0.01,even_process,0.01,1,6
2,even_process_flip0.01,last_7,one_step_greedy_merge,0.4228713912244609,19,1.403874027769208,0.8773126156307816,0.5204735119802467,even_process_flip0.01,even_process,0.01,1,7
2,even_process_flip0.01,last_8,one_step_greedy_merge,0.4189036089821177,24,1.5090816476794262,0.8497040458525792,0.7121477226203058,even_process_flip0.01,even_process,0.01,1,8
3,even_process_flip0.01,last_1,one_step_greedy_merge,0.4674954557487356,2,0.4749604349513684,1.0,0.0,even_process_flip0.01,even_process,0.01,1,1
3,even_process_flip0.01,last_2,one_step_greedy_merge,0.4518935436978613,3,0.8300032522185039,1.0,0.0,even_process_flip0.01,even_process,0.01,1,2
3,even_process_flip0.01,last_3,one_step_greedy_merge,0.4463651239259591,4,0.9642298374388524,0.911772794319858,0.2096773961709485,even_process_flip0.01,even_process,0.01,1,3
3,even_process_flip0.01,last_4,one_step_greedy_merge,0.4355545288227969,5,1.082221950226924,0.9086596456139254,0.2358467196091506,even_process_flip0.01,even_process,0.01,1,4
3,even_process_flip0.01,last_5,one_step_greedy_merge,0.432483471100693,11,1.153162770852543,0.9240596522369589,0.3019160597738939,even_process_flip0.01,even_process,0.01,1,5
3,even_process_flip0.01,last_6,one_step_greedy_merge,0.4255214477961133,16,1.3748910845121334,0.8538061040170507,0.5272514972557447,even_process_flip0.01,even_process,0.01,1,6
3,even_process_flip0.01,last_7,one_step_greedy_merge,0.4230911427426629,19,1.4079537256467456,0.8786939346967348,0.527147600786476,even_process_flip0.01,even_process,0.01,1,7
3,even_process_flip0.01,last_8,one_step_greedy_merge,0.4217477450423026,19,1.6962558858620354,0.7256283165928084,0.9146972002700658,even_process_flip0.01,even_process,0.01,1,8
4,even_process_flip0.01,last_1,one_step_greedy_merge,0.4683337830031767,2,0.4769985522929652,1.0,0.0,even_process_flip0.01,even_process,0.01,1,1
4,even_process_flip0.01,last_2,one_step_greedy_merge,0.4535256040836097,3,0.8331295699867733,1.0,0.0,even_process_flip0.01,even_process,0.01,1,2
4,even_process_flip0.01,last_3,one_step_greedy_merge,0.4472996765882869,4,0.9664124124610126,0.9115352883822097,0.2106307587028938,even_process_flip0.01,even_process,0.01,1,3
4,even_process_flip0.01,last_4,one_step_greedy_merge,0.4371425130951317,5,1.087946582431129,0.907640863776993,0.2357033465142126,even_process_flip0.01,even_process,0.01,1,4
4,even_process_flip0.01,last_5,one_step_greedy_merge,0.4337761297617987,9,1.206087341601144,0.9091465929972374,0.3247036164689306,even_process_flip0.01,even_process,0.01,1,5
4,even_process_flip0.01,last_6,one_step_greedy_merge,0.4281711247790201,12,1.4423103363190846,0.7980349140274887,0.5986314681696085,even_process_flip0.01,even_process,0.01,1,6
4,even_process_flip0.01,last_7,one_step_greedy_merge,0.4262820058854175,16,1.4302392133082222,0.8675808790439522,0.535401580497046,even_process_flip0.01,even_process,0.01,1,7
4,even_process_flip0.01,last_8,one_step_greedy_merge,0.4239201717729827,20,1.5020477234560277,0.8189085636067028,0.7173486362491622,even_process_flip0.01,even_process,0.01,1,8
0,even_process_flip0.01_sub2,last_1,one_step_greedy_merge,0.4733212720018969,2,0.4759751188001124,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,1
0,even_process_flip0.01_sub2,last_2,one_step_greedy_merge,0.4718196328728289,3,0.8858102878721794,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,2
