obs_std,seed,method,method_param,n_states,ari_slow,ari_fast,ari_joint,gaussian_logloss,elapsed_s
0.25,0,obs_pca_kmeans,9.0,9,0.00022409963433889785,0.13717312628043263,0.08283368374478196,3.2190189740466493,0.07240645866841078
0.25,0,obs_pca_kmeans,12.0,12,-4.6826165378747455e-05,0.10474176801850318,0.06874899030625682,3.2190189740466493,0.2572859674692154
0.25,0,obs_pca_kmeans,18.0,18,-5.77102622475648e-05,0.09181418840695374,0.06751976666575636,3.2190189740466493,0.4870137544348836
0.25,0,history_kmeans,3.0,3,0.0034170457983912347,-4.856832406984125e-06,0.0014203351828277555,3.2190189740466493,0.2116233129054308
0.25,0,history_kmeans,6.0,6,0.0022181354135274883,0.013831349362020774,0.008744546626444256,3.2190189740466493,0.7594665195792913
0.25,0,history_kmeans,9.0,9,0.002365949081803014,0.013228322824531966,0.009619730221840764,3.2190189740466493,0.9304232839494944
0.25,0,history_kmeans,12.0,12,0.006829242081052111,0.013181555826280602,0.013623428508511295,3.2190189740466493,1.7545481966808438
0.25,0,history_kmeans,18.0,18,0.014735404839391642,0.005600334507303592,0.017747193005290797,3.2190189740466493,2.5385578190907836
0.25,1,kalman_predictive_single,0.25,1689,0.02003910285608479,0.0002955477105005872,0.011413289907819242,3.153481872677353,1.1019968762993813
0.25,1,kalman_predictive_single,0.35,694,0.004592786337458234,0.00010025620781320249,0.0015333164924887953,3.153481872677353,1.06348688993603
0.25,1,kalman_predictive_single,0.5,222,-0.0016315763366530297,7.392381021317168e-05,-0.00038644747608998845,3.153481872677353,1.0841620294377208
0.25,1,kalman_predictive_kmeans,3.0,3,0.45771857772460683,-7.114066386087269e-05,0.1769943405045168,3.153481872677353,0.021664037369191647
0.25,1,kalman_predictive_kmeans,6.0,6,0.2456309617599188,-0.00028703903013373736,0.13055333014278853,3.153481872677353,0.2937116315588355
0.25,1,kalman_predictive_kmeans,9.0,9,0.17529887826089757,9.243401706296658e-05,0.10877711959197311,3.153481872677353,0.408103346824646
