noise,seed,method,method_param,n_states,ari_coarse,ari_fine,ari_joint,test_logloss,unifilarity,branch_entropy,elapsed_s
0.08,1,prism_predictive,0.35,8,0.05287119477229448,0.21782991442235122,0.2391900399728817,1.5731787078740207,0.852882330874078,0.3955249210629989,0.02509291609749198
0.08,1,prism_predictive,0.4,1,0.0,0.0,0.0,1.7223243885421198,1.0,0.0,0.024738874984905124
0.08,1,prism_predictive,0.45,1,0.0,0.0,0.0,1.7223243885421198,1.0,0.0,0.0247658749576658
0.08,1,prism_predictive,0.5,1,0.0,0.0,0.0,1.7223243885421198,1.0,0.0,0.02467891701962799
0.08,1,history_kmeans,3.0,3,4.193681217621806e-05,0.023527606621512993,0.07764753397723313,1.6693220588443096,0.5835313242465925,1.2913658313511611,0.026619457988999784
0.08,1,history_kmeans,6.0,6,0.01926881290690483,0.23362933022147012,0.15954478396449137,1.64781772561649,0.8058021758159309,0.5641040662389215,0.030701542040333152
0.08,1,history_kmeans,12.0,12,0.027711999838616514,0.1992479848737827,0.20333142735097004,1.6003227633943164,0.7971114167812933,0.5511645535152703,0.03833145904354751
0.08,2,prism_predictive,0.25,32,0.05911361804743496,0.16600787457227315,0.32057175513567676,1.4896718132604625,0.992122045767163,0.01824530887506466,0.02572666702326387
0.08,2,prism_predictive,0.3,22,0.06659524276008241,0.1884319609355562,0.3268291013726256,1.5020232053135596,0.9138426910091283,0.27372804422982383,0.025859792018309236
0.08,2,prism_predictive,0.35,10,0.07406171666851077,0.1328048346341777,0.14757417185385296,1.551601686440553,0.8188695760910343,0.5956797196533148,0.025939541053958237
0.08,2,prism_predictive,0.4,2,0.009066963333346894,0.007917990229726127,0.006543982723831483,1.69751124718499,0.9504814305364512,0.16374089094423852,0.02569454093463719
0.08,2,prism_predictive,0.45,1,0.0,0.0,0.0,1.7141069185782443,1.0,0.0,0.025163915939629078
0.08,2,prism_predictive,0.5,1,0.0,0.0,0.0,1.7141069185782443,1.0,0.0,0.025442584068514407
0.08,2,history_kmeans,3.0,3,0.005449170163602849,0.06165314480053522,0.10078441674810847,1.6396936078220685,0.6481805677128922,1.1703873916125536,0.027205499936826527
0.08,2,history_kmeans,6.0,6,0.008799517201951717,0.11583729020335397,0.19264825546088496,1.5996024220867948,0.5807802926097285,1.5355291732858751,0.030705667100846767
0.08,2,history_kmeans,12.0,12,0.027485911411845764,0.13415628447250783,0.24898750691463692,1.5588513533034927,0.6669376016006002,1.0220060902275485,0.044362207991071045
0.16,0,prism_predictive,0.25,28,0.04122153206825409,0.13119069492338634,0.24221772245390596,1.5835361892803688,0.9698636988870828,0.09136754254924313,0.02529408293776214
0.16,0,prism_predictive,0.3,14,0.036268943730943255,0.09908310266728561,0.13463031454205576,1.6012081979892048,0.7505939727397772,0.7655773851162094,0.02539970795623958
0.16,0,prism_predictive,0.35,2,0.0008355311887273328,0.007613817775635521,0.004767934040396725,1.7080652795885982,0.949230961610604,0.1629383124605746,0.024798583006486297
0.16,0,prism_predictive,0.4,1,0.0,0.0,0.0,1.7246408172896652,1.0,0.0,0.024647958925925195
0.16,0,prism_predictive,0.45,1,0.0,0.0,0.0,1.7246408172896652,1.0,0.0,0.024520750041119754
0.16,0,prism_predictive,0.5,1,0.0,0.0,0.0,1.7246408172896652,1.0,0.0,0.02457179198972881
0.16,0,history_kmeans,3.0,3,0.004453483652451182,0.27497274396146476,0.11262462394371014,1.718359713246473,0.9150306364886833,0.18793462602488226,0.026394625077955425
0.16,0,history_kmeans,6.0,6,0.005798448851402193,0.42016292637806446,0.21705718443018132,1.680853822738718,1.0,0.0,0.03461649990640581
0.16,0,history_kmeans,12.0,12,0.02804574752506337,0.23897259682066158,0.2303890248529481,1.6373108548557251,0.9536076028510689,0.12797802790819646,0.03828037506900728
0.16,1,prism_predictive,0.25,26,0.03927106865328403,0.1401275793430476,0.24018568059710935,1.5973444954227538,0.940227585344504,0.16611700952785696,0.025784583063796163
0.16,1,prism_predictive,0.3,13,0.054512907815453274,0.12954630749646992,0.16359180108393256,1.628940112860074,0.8415030636488682,0.5177973282893823,0.02540112496353686
0.16,1,prism_predictive,0.35,1,0.0,0.0,0.0,1.7338882791512056,1.0,0.0,0.02460962499026209
0.16,1,prism_predictive,0.4,1,0.0,0.0,0.0,1.7338882791512056,1.0,0.0,0.025081500061787665
0.16,1,prism_predictive,0.45,1,0.0,0.0,0.0,1.7338882791512056,1.0,0.0,0.025191624998115003
0.16,1,prism_predictive,0.5,1,0.0,0.0,0.0,1.7338882791512056,1.0,0.0,0.02553833299316466
0.16,1,history_kmeans,3.0,3,0.007296779202505274,0.09546363915615703,0.05792958650593596,1.698255190493256,0.7941102913592596,0.6471626159588691,0.025218541035428643
0.16,1,history_kmeans,6.0,6,0.01370619347862812,0.1954611326217211,0.1291655230521516,1.6834264728727624,0.8046767537826686,0.5775655845151442,0.030839999904856086
0.16,1,history_kmeans,12.0,12,0.016762795851493154,0.18431921731985737,0.1653406197372897,1.6554115520207622,0.8161185444541706,0.4991424499413041,0.038318124949000776
0.16,2,prism_predictive,0.25,31,0.04064966539480189,0.1363300801271282,0.24710348973328358,1.577366893714494,0.9965612104539202,0.014503666901166841,0.02550549991428852
0.16,2,prism_predictive,0.3,8,0.04737585846409406,0.11194813664148828,0.10715754974322718,1.6281390337777124,0.7699137176441164,0.6585458333511023,0.025100250029936433
0.16,2,prism_predictive,0.35,1,0.0,0.0,0.0,1.727061844008923,1.0000000000000002,0.0,0.024640624993480742
0.16,2,prism_predictive,0.4,1,0.0,0.0,0.0,1.727061844008923,1.0000000000000002,0.0,0.02467529196292162
0.16,2,prism_predictive,0.45,1,0.0,0.0,0.0,1.727061844008923,1.0000000000000002,0.0,0.02464575006160885
0.16,2,prism_predictive,0.5,1,0.0,0.0,0.0,1.727061844008923,1.0000000000000002,0.0,0.024666583049111068
0.16,2,history_kmeans,3.0,3,0.0010349104255767522,0.16669139461992016,0.057178383791977136,1.714049297951898,0.9428535700887833,0.2574910609002015,0.02460558305028826
0.16,2,history_kmeans,6.0,6,0.019191669060756183,0.08452894402078841,0.13432057777793105,1.675594733848686,0.5638364386644991,1.4947722445993208,0.028560000006109476
0.16,2,history_kmeans,12.0,12,0.024734732977257978,0.10400924867380922,0.18472372532444792,1.6334149695098918,0.6622483431286732,1.0494386679456729,0.03825670899823308
0.28,0,prism_predictive,0.25,8,0.01640840750167228,0.032494276484202764,0.037963434282633324,1.7001253979926993,0.7771039139677375,0.7475918586248799,0.025424041086807847
0.28,0,prism_predictive,0.3,2,0.0051127017232428735,0.004579452677514532,0.0037352571109445397,1.7416253187097694,0.9544204076528697,0.15161826802627984,0.02532483299728483
0.28,0,prism_predictive,0.35,1,0.0,0.0,0.0,1.7433941104684973,0.9999999999999999,0.0,0.025123749976046383
0.28,0,prism_predictive,0.4,1,0.0,0.0,0.0,1.7433941104684973,0.9999999999999999,0.0,0.025190167012624443
0.28,0,prism_predictive,0.45,1,0.0,0.0,0.0,1.7433941104684973,0.9999999999999999,0.0,0.024635833920910954
0.28,0,prism_predictive,0.5,1,0.0,0.0,0.0,1.7433941104684973,0.9999999999999999,0.0,0.02481700002681464
0.28,0,history_kmeans,3.0,3,0.0016386476019929145,0.19342099446841868,0.07857923143059976,1.7355378003494402,1.0,0.0,0.027394333970732987
0.28,0,history_kmeans,6.0,6,0.005586862565661076,0.2542761281363893,0.14649862736392674,1.7094051150796974,0.9716768788295611,0.08916146531641835,0.03379854199010879
0.28,0,history_kmeans,12.0,12,0.01425984807871118,0.15227814754217894,0.16146856003907417,1.6891995664492967,0.8903963986494935,0.3116567950898294,0.04366604203823954
0.28,1,prism_predictive,0.25,5,0.006731873068457047,0.018924253755417595,0.01469604700358288,1.7299488442426545,0.8792047017631611,0.4352164255288032,0.025563166942447424
0.28,1,prism_predictive,0.3,2,0.003279399768145792,0.0051274624692198515,0.0035628330179058383,1.7463209698346602,0.953232462173315,0.1562084648937052,0.025100500090047717
0.28,1,prism_predictive,0.35,1,0.0,0.0,0.0,1.7520947392951383,1.0,0.0,0.025076208054088056
0.28,1,prism_predictive,0.4,1,0.0,0.0,0.0,1.7520947392951383,1.0,0.0,0.024993416969664395
0.28,1,prism_predictive,0.45,1,0.0,0.0,0.0,1.7520947392951383,1.0,0.0,0.024796416983008385
0.28,1,prism_predictive,0.5,1,0.0,0.0,0.0,1.7520947392951383,1.0,0.0,0.02461308299098164
0.28,1,history_kmeans,3.0,3,0.0002769108855188732,0.10413314040546483,0.03482669891181456,1.743929430031615,0.9545454545454543,0.13277384663851471,0.024584959028288722
0.28,1,history_kmeans,6.0,6,0.005996261397120327,0.2518759178461516,0.13180698817593248,1.7225095619143864,0.9999999999999999,0.0,0.030616624979302287
0.28,1,history_kmeans,12.0,12,0.014223438877125894,0.1003934514588059,0.11599517986113198,1.712593113072752,0.7976741277979243,0.6029056077847019,0.038379374891519547
0.28,2,prism_predictive,0.25,10,0.01216750776121341,0.06524857465165748,0.047228915096317076,1.709743690219792,0.7692259597349009,0.7626840959224759,0.025241833995096385
0.28,2,prism_predictive,0.3,1,0.0,0.0,0.0,1.7439116899218978,1.0,0.0,0.024744459078647196
0.28,2,prism_predictive,0.35,1,0.0,0.0,0.0,1.7439116899218978,1.0,0.0,0.024548166897147894
0.28,2,prism_predictive,0.4,1,0.0,0.0,0.0,1.7439116899218978,1.0,0.0,0.024837083998136222
0.28,2,prism_predictive,0.45,1,0.0,0.0,0.0,1.7439116899218978,1.0,0.0,0.02456816704943776
0.28,2,prism_predictive,0.5,1,0.0,0.0,0.0,1.7439116899218978,1.0,0.0,0.02472350001335144
0.28,2,history_kmeans,3.0,3,0.00025452727947249923,0.054203781417054654,0.03971422406607315,1.7336799312358595,0.8118669501062898,0.6794455192855504,0.026385582983493805
0.28,2,history_kmeans,6.0,6,0.00018490097440757258,0.2986302897451488,0.14528509577387305,1.7267898267312685,0.9269726147305237,0.3135138788931603,0.03225962491706014
0.28,2,history_kmeans,12.0,12,0.022637836919720235,0.10090075844944828,0.13588343221498028,1.697511212852557,0.704764286607478,0.9517206660034203,0.04503504105377942
